scenario_id,需求总体系数,平均容量系数,平均电价系数,平均绿电系数,成本优先_现金成本_CNY,成本优先_调度碳代理_kgCO2,成本优先_位置法碳排_kgCO2,成本优先_市场法碳排_kgCO2,成本优先_任务完成率_%,成本优先_SLA满足率_%,协同_现金成本_CNY,协同_调度碳代理_kgCO2,协同_位置法碳排_kgCO2,协同_市场法碳排_kgCO2,协同_任务完成率_%,协同_SLA满足率_%,协同_绿电占比_%,协同_求解时间_s,相对成本优先_现金成本变化_%,相对成本优先_调度碳下降_%,相对成本优先_位置法碳排下降_%,相对成本优先_市场法碳排下降_%
23,1.108958350227509,1.0137189465629834,1.0114525108986787,0.9305587977146909,646.9726316067295,704.7863598672094,704.7863598672094,1029.959323259263,100.0,100.0,654.1104824950207,336.1125427997187,697.6694165014137,395.38235728268984,100.0,100.0,61.63219704939988,0.040587135999885504,1.1032693717761621,52.31001024721214,1.0098015187377651,61.61184734640599
24,0.9485834595279452,0.9855619237817665,0.9914003309195045,0.9379004195192253,536.0400696532031,578.6352027719086,578.6352027719086,877.7855497610069,100.0,100.0,542.3392843713718,233.14277106431058,576.0435746703141,282.38038242808534,100.0,100.0,67.84033989444794,0.10738399399997434,1.1751387768910795,59.70815983067439,0.4478863520884035,67.8303678495313
25,0.8518857860213753,0.9647268715452675,1.0176431891648559,0.9386516011636182,462.8703820905901,496.99382002275104,496.99382002275104,791.7405743194453,100.0,100.0,467.9045884001311,203.85684567369358,482.6212813549994,229.88635909526116,100.0,100.0,71.0311659105068,0.12377578199993877,1.0876060565386807,58.98201598072959,2.891894846316946,70.96443373602976
26,0.9207568379960461,1.051128420259531,0.9994051402797703,0.9583358183694352,499.81605552175574,524.7824904921105,524.7824904921105,858.4424490360667,100.0,100.0,511.7142838215076,198.5952143744064,519.604422862874,274.89373374138245,100.0,100.0,67.99993522450256,0.17064654200021323,2.3805214274942292,62.15666147927775,0.9867073926915465,67.9776164319394
27,0.9948820485638292,1.0001021715761207,1.0116271456299106,1.0037267428363388,576.9214571338923,617.3069479724354,617.3069479724354,923.8197816025148,100.0,100.0,588.4705276247487,231.57420757686504,609.5510758090422,251.85375053847153,100.0,100.0,72.74633930482376,0.0536442860002353,2.001844505529641,62.48637596944632,1.2564044822219467,72.73778332592201
28,0.966824849790412,0.9786962501691601,0.9840866851979664,1.0373392666856922,549.3712887977819,597.98253260584,597.98253260584,899.2833087104374,100.0,100.0,558.7461770217077,212.04622059152618,594.2581201900481,227.71408637100726,100.0,100.0,74.72038491970511,0.05610147599963966,1.7064758233801038,64.53973000390357,0.622829633427913,74.67827055552195
29,1.1236554878515086,0.9808748026645986,1.0106264664284355,1.055707961663502,661.2549116030932,734.4895631365407,734.4895631365407,1053.5498044115493,100.0,100.0,673.6670175258085,325.0254839966218,711.6727393692026,324.8112170864146,100.0,100.0,69.20939672943932,0.047946935999789275,1.8770531159646784,55.748114022390816,3.106487132356494,69.16982797335955
30,1.0865444666522268,1.0561576675707578,1.006260224804463,1.0380174477594226,635.3891426819646,700.2925884694835,700.2925884694835,1014.0275295936199,100.0,100.0,652.0287805574544,277.2915790694268,691.6393995665658,316.9979434471533,100.0,100.0,68.7339420573411,0.0507001260002653,2.618810545810439,60.40346797394239,1.235653360523145,68.73872412771742
31,1.1387753520692032,0.9828700673502434,0.992885502785318,0.9970756985243032,653.2642862352691,733.4894356844964,733.4894356844964,1059.4219190807864,100.0,100.0,669.6793692206045,315.983291645804,727.8701012722779,364.26089542320983,100.0,100.0,65.61195872720494,0.04496621199996298,2.512778263133707,56.920539509757674,0.7661097950203545,65.61701349928055
32,1.0896684011786917,1.0493314873898567,1.0112488909946364,1.0449423279875052,632.9455800875693,686.7690135077704,686.7690135077704,1009.680233583764,100.0,100.0,649.6004357827742,284.21408491128443,676.243065973658,299.6764613069307,100.0,100.0,70.33430158600831,0.04728296400026011,2.631325064771077,58.61576755485508,1.5326765371008328,70.31966643109794
