压力测试,场景,参数值,协同_任务完成率_%,协同_SLA满足率_%,协同_现金成本_CNY,协同_单位成本_CNY_per_1000CU,协同_调度碳代理_kgCO2,协同_位置法碳排_kgCO2,协同_市场法碳排_kgCO2,协同_绿电占比_%,协同_绿电利用率_%,协同_平均延迟_h,协同_求解时间_s,相对成本优先_现金成本变化_%,相对成本优先_调度碳代理下降_%,相对成本优先_位置法碳排下降_%,相对成本优先_市场法碳排下降_%,相对成本优先_绿电占比变化_pp,相对成本优先_SLA变化_pp
4_SLA压力,SLA阈值×0.85,0.85,100.0,100.0,597.8654273857625,148.73384267128455,246.30724981137251,627.92681214,266.9262653585929,71.27279161314549,64.16405995919249,0.6925143667437869,0.08514572500007489,3.0991788454594955,61.343087949434164,1.4494637503463805,71.2676765895075,71.27279161314549,0.0
4_SLA压力,SLA阈值×1.00,1.0,100.0,100.0,585.8225517033877,145.7378788724004,243.63196257630665,619.28929908,263.5077911228035,71.65376178258691,64.536766864873,0.9071050078364056,0.11945903900050325,1.90445519595622,61.13339179739236,1.2047750349212358,71.66647334388054,71.65376178258691,0.0
4_SLA压力,SLA阈值×1.20,1.2,100.0,100.0,574.9405923646342,143.03072178636071,236.18491287062457,609.33336468,256.3422639763193,72.45589692163401,65.33343591897285,1.0768241411050574,0.14231947799999034,1.9454021578647451,61.70081182660781,1.1919393556316265,72.46886743978418,72.45589692163401,0.0
4_SLA压力,SLA阈值×1.50,1.5,100.0,100.0,575.4995784492728,143.1697834289307,237.79589962312656,610.47876198,258.1002983518002,72.26530575239366,65.15761055551863,1.0677488369778838,0.16073895600038668,3.154637008248676,61.50726597321308,1.179975554074131,72.29516601905772,72.26530575239366,0.0
5_绿电波动压力,绿电波动系数=0.00,0.0,100.0,100.0,587.1955727648652,146.07945189065484,252.34287975404564,603.3399181650001,278.41297738728565,70.07547620327085,63.168194732541124,0.9071050078364056,0.12289871499979199,2.1432936681789183,59.74373913666438,3.749179851687811,70.06380159539202,70.07547620327085,0.0
5_绿电波动压力,绿电波动系数=0.50,0.5,100.0,100.0,585.4190727943501,145.63750349388016,247.03401442991057,609.5356787250001,267.9275834984239,71.18209715722122,64.12036918981326,0.9071050078364056,0.10271515899967198,1.8342696111080687,60.59066244825137,2.760770138708264,71.191237660884,71.18209715722122,0.0
5_绿电波动压力,绿电波动系数=1.00,1.0,100.0,100.0,585.8225517033877,145.7378788724004,243.63196257630665,619.28929908,263.5077911228035,71.65376178258691,64.536766864873,0.9071050078364056,0.11816782300047635,1.90445519595622,61.13339179739236,1.2047750349212358,71.66647334388054,71.65376178258691,0.0
5_绿电波动压力,绿电波动系数=1.50,1.5,100.0,100.0,585.7438643124586,145.71830343370368,255.25563992783697,621.6281630249999,270.5945004548958,70.8777986441864,63.80800510247726,0.9071050078364056,0.09429636999993818,1.8907674407134367,59.279066491639604,0.8316560581324365,70.90447891893606,70.8777986441864,0.0
5_绿电波动压力,绿电波动系数=2.00,2.0,100.0,100.0,585.8087724601835,145.73445094414595,270.5910410749957,624.785802825,280.63941792095835,69.79669252903693,62.83464868130208,0.9071050078364056,0.1737270539997553,1.9020582819629699,56.83260987029315,0.3279177651195686,69.82440483243376,69.79669252903693,0.0
5_绿电波动压力,绿电波动系数=3.00,3.0,100.0,100.0,588.1042692608069,146.30551266532498,276.3263925619909,624.3915179700001,285.9107927286688,69.21421305899196,62.27959170432857,0.9071050078364056,0.11175398399973346,2.3013623889684363,55.917649219021996,0.39081803000046966,69.25760322860923,69.21421305899196,0.0
6_需求冲击,算力需求×0.70,0.7,100.0,100.0,359.39717848239724,127.72707930669924,96.97938980090129,342.50710195799996,131.29246192076633,80.01339282800895,50.92529842495071,1.0582207627434883,0.20212367799922504,3.823874708504039,74.73380907133912,10.766093184752945,79.90641698407138,80.01339282800895,0.0
6_需求冲击,算力需求×0.85,0.85,100.0,100.0,450.3063434542004,131.7939569544114,177.81535500134873,478.15465191000004,208.5733477937146,73.68635593617199,56.589398372279874,1.046391521755355,0.15524032400026044,3.085962054893459,63.49964181891788,1.848656093095778,73.66482437913665,73.68635593617199,0.0
6_需求冲击,算力需求×1.00,1.0,100.0,100.0,585.8225517033877,145.7378788724004,243.63196257630665,619.28929908,263.5077911228035,71.65376178258691,64.536766864873,0.9071050078364056,0.1172633100004532,1.90445519595622,61.13339179739236,1.2047750349212358,71.66647334388054,71.65376178258691,0.0
6_需求冲击,算力需求×1.15,1.15,100.0,100.0,678.3791394184548,146.75097739685413,338.73122172182195,740.9767639372499,367.778281606468,65.61436474697622,67.99518139952504,0.9078488444411275,0.053722669999842765,1.574646042594451,54.680964176927425,0.8643126008797839,65.62452402222756,65.61436474697622,0.0
6_需求冲击,算力需求×1.30,1.3,92.38649650471427,92.38649650471427,724.7357977250655,150.11850174036593,417.08129342957426,787.7445133545,468.368306702527,58.04557021615593,62.78399399844826,0.6481772698631539,0.038037756999983685,1.6984917210001251,48.62800759054299,2.9733392550918785,58.05667305133583,58.04557021615593,0.0
6_需求冲击,算力需求×1.50,1.5,73.67813518421772,73.67813518421772,653.3960385832072,147.0797798029036,438.57728324399034,736.2535779,491.56994565883093,52.04841032788274,51.69635987290053,0.568509339420051,0.01803176799967332,0.9462843593270049,40.473870630381725,0.0716010579641499,52.09703734405349,52.04841032788274,0.0
